Periodo,Soledad,Pareja sola,Pareja con otras personas,Otras formas,sexo
2004,13.9,45.399999999999999,30,10.6,Hombres
2005,14.1,45.899999999999999,29.899999999999999,10.199999999999999,Hombres
2006,13.699999999999999,46,29.899999999999999,10.4,Hombres
2007,14.4,46.5,29.100000000000001,9.9000000000000004,Hombres
2008,14.699999999999999,45.399999999999999,30.600000000000001,9.1999999999999993,Hombres
2009,15.1,45.700000000000003,29.699999999999999,9.5999999999999996,Hombres
2010,13.4,47.700000000000003,29.199999999999999,9.6999999999999993,Hombres
2011,13.300000000000001,49.100000000000001,27.5,10.1,Hombres
2012,14.4,49.899999999999999,24.600000000000001,11.1,Hombres
2013,14.5,50.399999999999999,24.100000000000001,10.9,Hombres
2014,15.699999999999999,50.600000000000001,24.300000000000001,9.4000000000000004,Hombres
2015,17.300000000000001,49.5,24.399999999999999,8.9000000000000004,Hombres
2016,17.300000000000001,48.700000000000003,25.100000000000001,8.9000000000000004,Hombres
2017,17.699999999999999,49.299999999999997,23.399999999999999,9.5999999999999996,Hombres
2018,17.800000000000001,49.200000000000003,24.399999999999999,8.6999999999999993,Hombres
2019,17.199999999999999,49.299999999999997,25.199999999999999,8.3000000000000007,Hombres
2020,15.800000000000001,51.600000000000001,24.800000000000001,7.9000000000000004,Hombres
2021,15.699999999999999,51.299999999999997,24.600000000000001,8.4000000000000004,Hombres
2022,16.100000000000001,50.600000000000001,25.199999999999999,8.0999999999999996,Hombres
2004,30.300000000000001,28.100000000000001,14.800000000000001,26.699999999999999,Mujeres
2005,30.399999999999999,27.800000000000001,14.9,26.800000000000001,Mujeres
2006,30.899999999999999,28.300000000000001,14.9,25.800000000000001,Mujeres
2007,30.699999999999999,28.800000000000001,15.300000000000001,25.300000000000001,Mujeres
2008,29.5,28.800000000000001,15.699999999999999,26,Mujeres
2009,28.899999999999999,29.300000000000001,15.9,25.800000000000001,Mujeres
2010,28.5,30.100000000000001,15.6,25.800000000000001,Mujeres
2011,28.100000000000001,31,14.5,26.399999999999999,Mujeres
2012,28.399999999999999,31.100000000000001,13.800000000000001,26.699999999999999,Mujeres
2013,28.699999999999999,31.600000000000001,13.6,26.100000000000001,Mujeres
2014,29.100000000000001,32.5,13.5,24.899999999999999,Mujeres
2015,29.399999999999999,32.100000000000001,13.6,24.899999999999999,Mujeres
2016,30.399999999999999,32,14,23.600000000000001,Mujeres
2017,29.899999999999999,32.600000000000001,12.9,24.5,Mujeres
2018,31,32.299999999999997,13.5,23.199999999999999,Mujeres
2019,30.100000000000001,33.299999999999997,14.1,22.5,Mujeres
2020,29.399999999999999,34.700000000000003,13.800000000000001,22.100000000000001,Mujeres
2021,30.399999999999999,34.600000000000001,13.699999999999999,21.300000000000001,Mujeres
2022,31.899999999999999,34.5,13.6,20,Mujeres
